,Time,User,Message,Sentiment
0,0.0,1a30bb585019b50d6d1d48fd516d4042bb684b90,my favorite thing from legion was m+ and the mage tower ,0.0004246372845955193
1,10.0,1a30bb585019b50d6d1d48fd516d4042bb684b90,scrap the rest > > ,0.6222732663154602
2,11.0,a6feebb3985f4e78f1025ad069096cf29ec51e11,prenerf freya even in full icc25h gear still fucking trucks you ,0.8239589929580688
3,11.0,030d3bc3390b6fc0267e92d94f786ce7b0f07c84,transmog allowed blizzard to get lazy with gear design ,0.3494489789009094
4,16.0,a6feebb3985f4e78f1025ad069096cf29ec51e11,even with a hpala with val ,0.1545228660106659
5,18.0,1a30bb585019b50d6d1d48fd516d4042bb684b90,i hate transmog ,0.9142354726791382
6,53.0,1a30bb585019b50d6d1d48fd516d4042bb684b90,true ,0.03379741683602333
7,83.0,1a30bb585019b50d6d1d48fd516d4042bb684b90,i like the idea of challenged like mage tower geared to each class was interesting and made me have to think outside the box to deal with it ,0.0015195102896541357
8,97.0,e520af1b62d83042d4a2930266c9618fb0f43f8a,what i liked about the artifact weapons is mainly the trait system which granted stopped progressing at some point - but gradual progression and choices even illusion of choices done well make me feel good as a player ,0.0004976692143827677
9,98.0,e758d1e9cae63426b84f6abeda78880e5637f795,retail tanks bring a lot of healing to the table as well ,0.03235062584280968
10,101.0,e758d1e9cae63426b84f6abeda78880e5637f795,minus warriors ,0.7543936967849731
11,112.0,030d3bc3390b6fc0267e92d94f786ce7b0f07c84,82a0aa2d6e799990d850f27307bbef6b433d13a7 there was never a boss that fucked harder than odyn though ,0.3813164532184601
12,117.0,e520af1b62d83042d4a2930266c9618fb0f43f8a,playing blood dk tank in legion was really fun esp in m+ ,0.0034574568271636963
13,118.0,030d3bc3390b6fc0267e92d94f786ce7b0f07c84,which i know that is what you are refering to ,0.016644714400172234
14,156.0,e758d1e9cae63426b84f6abeda78880e5637f795,lol brutallus ,0.15719589591026306
15,158.0,e758d1e9cae63426b84f6abeda78880e5637f795,in sunwell ,0.0006574347498826683
16,181.0,f427a4f0ef188330358e7aeaeb8b35574f5fd431,do you have a top 3 personal hard boss fights excluding bfa legion and wod ,0.0680033415555954
17,185.0,e758d1e9cae63426b84f6abeda78880e5637f795,if the boss parried your hit ,0.0602378249168396
18,191.0,e758d1e9cae63426b84f6abeda78880e5637f795,he double struck your tank ,0.28932034969329834
19,194.0,e758d1e9cae63426b84f6abeda78880e5637f795,and auto one shot ,0.17831331491470337
20,197.0,e758d1e9cae63426b84f6abeda78880e5637f795,it happened ,0.6556148529052734
21,322.0,f427a4f0ef188330358e7aeaeb8b35574f5fd431,tbc was more the era of hard trash/dungeons not so much the bosses :d ,0.4828512668609619
22,335.0,f427a4f0ef188330358e7aeaeb8b35574f5fd431,yeah your 3 personal from either vanillatbcwotlkcata or mop ,0.0166226364672184
