,Time,User,Message,Sentiment
0,0.0,97157b2b0cef6e64bacb6ccdc75f8c63086be113,what do you think about this game right now 8348054b46a094c508c0853058c5fe8fe62871c8 ,0.005242502316832542
1,3.0,d27cf1a913e4e95df4c6bbeb178ee159b9e88c6d,lu bu is pretty close to 200 instinct i think; maybe we'll see if anything special happens ,0.05274035781621933
2,27.0,41a3d457bf979ef684587bfe9bf66f2997488e36,i've literally watched every single on of your total war gameplays i love your stuff man keep up with your good work!!:) :) ,0.0005909576429985464
3,62.0,66b0d81a45b6a352267775005f5d44b25d8cf886,lu bu is legit a monster his stats look so good ,0.03437834605574608
4,102.0,4506cb7a01c4b1a1b7e79dba404c637d93cb9098,but can he grab arrows out of the air and throw them back at the enemy with the force of a ballista hashhm ,0.14432594180107117
5,106.0,d937dcfd8200a7e34c78070aaeb3f1b9d2a63fb3,so with those buffs what is the best one to max for your army commander ,0.020193222910165787
6,116.0,d27cf1a913e4e95df4c6bbeb178ee159b9e88c6d,lu bu is 42 the answer to life the universe and everything ,0.0015263294335454702
7,117.0,4b8ad94948dfbdceb11b241983674e6f665096f8,hello how big is the map compared to other total war games ,0.458662748336792
8,126.0,11be671a4e82dbea52275b3fd9f0d824988bcc29,omg i just had the best advert pop up before the vid an anti-phone while driving psa from highway's scotland where a guy's gran suddenly appears and hectors him ,0.16158081591129303
9,128.0,ef0caa972fb7bd1cac7a22e7435f96c49984cb5b,can you push his instinct to 200 to see if anything happens ,0.09326723963022232
10,134.0,1f4b9372da4ad93cbed266bfc58ef76a8c283cee,lu bu hold zhang fei guan yu and liu bei at same time he sure need have op stats ,0.010742991231381893
11,155.0,6d3ead3306195ea22a3e1b2e8d417170d92d97dc,does the upkeep reduction from horse pastures stack ,0.18861734867095947
12,162.0,7010965d5e69db42a1e108b3061ea6cacc7c85a7,uptime and 8348054b46a094c508c0853058c5fe8fe62871c8 how long you on for just got back from work early so don't catch streams often :pensive_face: ,0.006787593010812998
13,193.0,d27cf1a913e4e95df4c6bbeb178ee159b9e88c6d,4b8ad94948dfbdceb11b241983674e6f665096f8 i feel like it's not as big as mortal empires map but they reduced campaign map movement range to stretch it out ,0.03383653983473778
14,226.0,57f5ad2f908d86175aa9312717e1b82fbf12a749,hit em with the dong ,0.02327500656247139
15,226.0,07d04ea972a20c658e0c94011a59d1fd0d02d28e,what a scamp ,0.6375271081924438
16,228.0,4b8ad94948dfbdceb11b241983674e6f665096f8,the new ui looks very confusing ,0.944052517414093
17,248.0,d937dcfd8200a7e34c78070aaeb3f1b9d2a63fb3,death to the deceitful ,0.9896000623703003
18,254.0,1a17c130400ef4f98480745c001634e64a13ab27,hmm how to trade for food ,0.013394439592957497
19,255.0,41a3d457bf979ef684587bfe9bf66f2997488e36,will you upload this tomm ,0.013397884555161
20,256.0,deb770527d21bb9d57ce3df865c73604b2ad7d63,that is soome ai sneakenes ,0.24522480368614197
21,260.0,b57b462c2eab73b63b694ddec482cb094f259ea2,long time no talk my lord ,0.28120285272598267
22,266.0,53c1f6366f86575ead6863bce020095a1219df53,what is coupon ,0.4429771602153778
23,280.0,b2fb52442dc3a7fa4939d3507d39359f7c3bb051,zhuo him you are not to be trifled with ,0.3140522241592407
