,Time,User,Message,Sentiment
0,0.0,66b3a5ecc2cd64a680af659247a4a294f9da083d,thank you superjoule for the resub(s <3 ,0.0014507146552205086
1,2.0,4fbe6b93cfc611e0cbeb8331cdc5dc7a57c97107,yep lurker made it this time ,0.049916449934244156
2,16.0,75bc9778f4212ce01a256bea194aac0c09d426e0,lmao ultra runbys ,0.292828232049942
3,19.0,75bc9778f4212ce01a256bea194aac0c09d426e0,this is a proper snute game ,0.22363218665122986
4,23.0,1d1770245d4205f89d3bf098df507925c384a976,a queen melee vs a ultra something you dont see every day ,0.22637054324150085
5,33.0,d9d0841b6a18a9ffeb78728fb353d4ace19bdcdd,not enough queens 75bc9778f4212ce01a256bea194aac0c09d426e0 ,0.6260794997215271
6,45.0,8f0459d88afc0220f664caae8a562d10ba385cea,vesuvitas esspecially cuz queens dont have melee opieop ,0.317642480134964
7,50.0,75bc9778f4212ce01a256bea194aac0c09d426e0,or enough world championships ,0.054201964288949966
8,77.0,1d1770245d4205f89d3bf098df507925c384a976,eh close enough to be melee ,0.28994879126548767
9,80.0,8f0459d88afc0220f664caae8a562d10ba385cea,gg ,0.022410785779356956
10,81.0,dce4f72c8711f1e3754838819bf11601997d0b4e,neurogg neurogg ,0.007626756094396114
11,81.0,4fbe6b93cfc611e0cbeb8331cdc5dc7a57c97107,gg ,0.022410785779356956
12,83.0,1704e1434f3df2c4d0406d27a24d38535d473ba1,gg ,0.022410785779356956
13,83.0,128b157aaae3a1f462907fa4c84278658ba5a411,gg ,0.022410785779356956
14,84.0,1d1770245d4205f89d3bf098df507925c384a976,weow gg ,0.05076475068926811
15,86.0,70a190b16189012c16dbd28870db5643d715672b,gg ,0.022410785779356956
16,90.0,dce4f72c8711f1e3754838819bf11601997d0b4e,i always die when i try that^^ ,0.08293938636779785
17,92.0,c0558ef8f9b74951cb43b84cdadbb4dc1cff9cbb,1 viper lul ,0.002114906907081604
18,93.0,cfd5b6751e30fd72e6a921dbdf3ac3602279b627,gg ,0.022410785779356956
19,93.0,136c8adb36ca506cbe7421b69eedd01db3146e7e,how many ultras ,0.04599383845925331
20,97.0,a374f03ec05cc56e6e7973e7f6a39ea3447debc9,taketvgg haro7 ,0.001282666577026248
21,101.0,0a4eb46ad394d47799e456dcff5c00f954f259c2,ultra runby new meta ,0.012166516855359077
22,102.0,72d3e8e86f27f2744e4e13e71dbac3ce13eb0599,like 15 ultras :d ,0.08198443055152893
